Latitude,Longitude,Altitude
52.3818992,9.8356907,61.0
50.0798045,8.4536609,144.0
50.0795375,8.4507848,152.0
52.5050437,13.1626312,48.0
50.8009151,10.3037536,252.0
49.4136238,8.6925384,113.0
51.452741,9.6296297,138.0
49.3947754,9.0678261,172.0
49.4834393,8.471892,106.0
52.0850093,8.7254479,71.0
49.3128701,10.6810081,469.0
49.4630794,8.9836117,129.0
50.052299,10.4942376,293.0
49.7601283,9.5207502,154.0
49.7584316,9.5178253,142.0
49.2592249,8.629687,105.0
49.7598035,9.8540174,363.0
50.2291755,8.6284448,165.0
52.354372,9.6339402,80.0
49.3238832,9.070023,344.0
52.3433986,9.6157314,102.0
51.8381191,12.2370403,67.0
49.8736955,9.8779969,339.0
49.8740061,9.8644122,275.0
51.3960428,8.5666008,460.0
52.4321295,9.3919706,48.0
49.3693022,9.0220692,242.0
49.3214784,9.0658884,332.0
49.3209123,9.0671253,334.0
49.3205645,9.0723309,337.0
49.6162081,9.6723861,179.0
49.1710984,9.1109205,232.0
49.3922119,9.0841316,258.0
52.4139672,8.7058233,53.0
51.5598076,9.6085393,111.0
52.3243868,10.2250252,70.0
49.2592289,8.7148962,136.0
50.9463381,10.4320907,251.0
49.403107,8.6292805,111.0
49.3611562,9.0486608,206.0
49.9882644,8.4737944,111.0
51.4147222,9.6527364,132.0
49.0992044,8.5333342,113.0
52.0043856,11.724634,53.0
49.453509,11.0796197,301.0
52.35681,9.768751,56.0
49.3654033,9.0220305,227.0
50.7160716,12.93789,526.0
52.44448,9.8473035,55.0
49.2573148,8.7198505,146.0
49.258421,8.7156073,137.0
49.9857454,8.6404766,125.0
50.9276819,11.5856087,155.0
52.3068367,13.2499161,45.0
50.7998672,10.2972586,246.0
50.799534,10.2977445,246.0
52.4093819,9.6286047,58.0
49.2439247,11.1314103,366.0
52.0971467,9.6359535,103.0
51.8364917,8.9325712,366.0
49.3268705,11.3097338,437.0
50.8543928,12.7457174,365.0
50.4961149,11.228269,779.0
52.453803,9.6309519,50.0
50.7853322,12.5582731,333.0
49.6686235,10.8794468,312.0
50.2022677,8.5754421,216.0
49.8258402,8.6926566,187.0
49.8241674,8.6933266,187.0
49.4723064,10.93127,357.0
49.4797802,8.4881936,99.0
49.8699577,8.6804069,167.0
49.3182838,8.4353327,106.0
50.5960698,10.7192833,554.0
51.4405256,11.9592997,108.0
49.4715344,8.6543973,112.0
50.4255384,8.9307644,152.0
50.4208524,8.9381288,173.0
51.6249048,12.2696898,85.0
52.5043151,13.340207,41.0
50.0960315,10.8093841,292.0
50.0960055,10.8086861,292.0
49.3913056,9.0704441,160.0
50.6648095,10.366785,271.0
50.1016526,10.7905695,262.0
52.1661434,9.7868236,71.0
51.1979215,8.7036589,402.0
49.0413327,11.3802565,442.0
50.2850574,8.4871712,454.0
51.8239398,10.3601282,606.0
52.1142623,9.6257545,229.0
49.7104807,8.6371791,327.0
49.1907264,13.0557391,533.0
51.8217325,11.2826899,110.0
51.822373,11.2858558,110.0
50.8783848,9.7235786,201.0
52.326429,13.0369964,58.0
51.7286529,11.1191877,206.0
52.1095059,11.6311107,52.0
51.2545563,8.9400018,330.0
52.5107083,13.345216,33.0
49.5012348,11.4148465,343.0
49.1086873,10.6184772,456.0
49.4520692,10.826622,399.0
49.2116515,9.5322391,278.0
49.176462,9.4010134,245.0
49.5076826,11.0590176,315.0
49.2690489,10.9732193,378.0
