Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4,Elevation
48.69375764,9.012567082,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.6943586,9.012963949,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69433839,9.012902259,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69431854,9.012840568,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69430041,9.012778877,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69428103,9.012717186,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69426216,9.012655495,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69424123,9.012595146,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69422264,9.012534125,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69420449,9.012472435,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,435
48.69418457,9.012412085,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,435
48.6941651,9.012351065,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69414651,9.012286692,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.67545784,9.017369104,62.5,"DC Kupplung Combo, DC CHAdeMO",62.5,,,,,,,451
48.67545479,9.01731176,22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,,,,,451
48.67022,9.03354,22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,,,,,,,480
48.669837,9.033949,22,AC Kupplung Typ 2,22,,,,,,,475
48.691358,9.003707,250,DC Kupplung Combo,250,,,,,,,431
48.691358,9.003707,250,DC Kupplung Combo,250,,,,,,,431
